stock_name
ISIN
CBOM
ALRS
VTBR
YNDX
AFKS
BSPB
POLY
AKRN
AFLT
GAZP
GMKN
PIKK
LSRG
DSKY
IRAO
MVID
MGNT
MAGN
MTLR
MTLRP
MTSS
MOEX
LKOH
ROSN
NLMK
PLZL
RSTI
RSTIP
RTKM
RTKMP
SFIN
SBER
SBERP
CHMF
TATN
TATNP
TGKA
TRNFP
TRMK
HYDR
FEES
PHOR
ENRU
UPRO
RNFT
MSNG
RUAL
NVTK
MRKU
AQUA
MSRS
APTK
AMEZ
OGKB
KMAZ
VSMO
MSTT
MRKV
MRKZ
MRKS
MRKP
MRKC
OBUV
RASP
SVAV
SELG
SELGP
SNGS
SNGSP
TGKN
FTRE
WTCM
WTCMP
TNSE
RDRB
RAVN
AVAN
IRGZ
KZOS
KZOSP
LNZL
LNZLP
KUNF
BLNG
DZRD
DZRDP
LVHK
LPSB
MSST
NPOF
MGNZ
KRKO
KRKOP
ARSA
NKNC
NKNCP
SIBG
ALNU
ACKO
ABRD
UTAR
BANE
BANEP
ASSB
USBN
BISV
BISVP
BELU
ALBK
BRZL
VJGZ
VJGZP
VDSB
VLHZ
VGSB
VGSBP
VSYD
VSYDP
GAZA
GAZAP
GAZT
GAZS
GAZC
GTSS
GTRK
RTGZ
SIBN
HALS
GRNT
RLMN
RLMNP
GCHE
DASB
DVEC
FESH
GTLC
EELT
ZVEZ
ZILL
IDVP
RUSI
OPIN
IGST
IGSTP
ISKJ
KLSB
TGKD
TGKDP
KSGR
KOGK
KMTZ
KTSB
KTSBP
KZMS
KRSB
KRSBP
KBTK
KAZT
KAZTP
KGKC
KGKCP
MERF
MFON
ODVA
GEMA
MRKK
MRKY
MRSB
MORI
MGTS
MGTSP
KROT
KROTP
NSVZ
IRKT
UWGN
NFAZ
NKSH
NKHP
NMTP
SATR
UNAC
UCSS
PRTK
PAZA
PMSB
PMSBP
PLSM
RBCM
CHGZ
ROST
RKKE
RUGR
ROLO
RUSP
RZSB
KRKN
KRKNP
SARE
SAREP
SZPR
MFGS
MFGSP
JNOS
JNOSP
STSB
STSBP
VRSB
VRSBP
KBSB
MISB
MISBP
NNSB
NNSBP
RTSB
RTSBP
YRSB
YRSBP
TASB
TASBP
TANL
TANLP
TTLK
TGKB
TGKBP
TORS
TORSP
TRFM

TUZA
TUCH
UKUZ
URKA
URKZ
LIFE
HKOL
HIMC
HIMCP
TRCN
CNTL
CNTLP
PRFN
CHKZ
CHMK
CHEP
ELTZ
UNKL
YAKG
YKEN
YKENP
VZRZ
VZRZP
KUZB
DIOD
MOBB
NAUK
OMZZP
ROSB
RGSS
KCHE
KCHEP
LSNG
LSNGP
MAGE
MAGEP
SAGO
SAGOP
SLEN
KUBE
PRMB
KMEZ
